title,author,year,empirical_data,subsidy_type,vector_type,vector,biotic_abiotic,recipient,subgroups,ecotone,climate_zone,mediterannean,continent,country,latlon,experimental,start,end,initials,,,,,,,,,,,,
Modification of Ecosystems by Ungulates,Hobbs,1996,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
"Salmon species, density and watershed size predict magnitude of marine enrichment in riparian food webs",Hocking and Reimchen,2009,Yes,"Chum/pink/coho salmon and watershed size (N, C)",Fish,"Chum, pink, and coho salmon (affected by watershed size)",Biotic,Riparian ecosystem,No,Aquatic - Terrestrial,3 regions in B.C. (moderate oceanic),No,North America,Canada,"49.3, 123.1",Yes,1998,2001,FL,,,,,,,,,,,,
Migration impacts on communities and ecosystems: empirical evidence and theoretical insights. In Animal Migration: A Synthesis,Holdo et al.,2011,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
"Marine-derived nutrients, bioturbation, and ecosystem metabolism: reconsidering the role of salmon in streams",Holtgrieve and Schindler,2011,Yes,"Spawning pacific salmon (N, P, O)",Fish,Spawning pacific salmon,Biotic,Stream,No,Marine - Freshwater,Subarctic oceanic,No,North America,United States,"59.3, -158.6",Yes,2002,2009,FL,,,,,,,,,,,,
Caribou and the North: A Shared Future,Hummel and Ray,2008,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
"Survey of existing knowledge of biogeochemistry. 3, The biogeochemistry of vertebrate excretion. Bulletin of the AMNH ; v. 96",Hutchinson,1950,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Food Web Stability: The Influence of Trophic Flows across Habitats,Huxel and McCann,1998,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Effects of partitioning allochthonous and autochthonous resources on food web stability,Huxel et al.,2002,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Stream meanders increase insectivorous bird abundance in riparian deciduous forests,Iwata et al.,2003,Yes,Emerging aquatic insects effects on insectivorous bird density,Insect,Adult aquatic insect emergence,Biotic,Riparian insectivorous bird abundance,No,Freshwater - Terrestrial,Deciduous forest,No,Asia,Japan,"42.6, 141.6",Yes,2000,2000,FL,,,,,,,,,,,,
Extraordinarily high spider densities on islands: flow of energy from the marine to terrestrial food webs and the absence of predation.,Polis and Hurd,1995,Yes,"Algal drift, carcass drift",Shore drift,Shore drift,Abiotic,Spider density,No,Marine - Terrestrial,Arid,No,North America,Mexico,"28.9, -113.5",Yes,1990,1991,FL,,,,,,,,,,,,
Linking Marine and Terrestrial Food Webs: Allochthonous Input from the Ocean Supports High Secondary Productivity on Small Islands and Coastal Land Communities,Polis and Hurd,1996,Yes,"Algal drift, carcass drift",Shore drift,Shore drift,Abiotic,Spider density,No,Marine - Terrestrial,Arid,No,North America,Mexico,"28.9, -113.6",Yes,1990,1991,FL,,,,,,,,,,,,
El Niño Effects on the Dynamics and Control of Anisland Ecosystem in the Gulf of California,Polis et al.,1997,Yes,El Nino precipitation,Precipitation,El Nino precipitation,Abiotic,Insect abundance,No,Marine - Terrestrial,Arid,No,North America,Mexico,"28.9, -113.7",Yes,1990,1995,FL,,,,,,,,,,,,
"Effect of landscape boundaries on the flux of nutrients, detritus, and organisms. In Food Webs at the Landscape Level",Polis et al.,2004,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Toward an Integration of Landscape and Food Web Ecology: The Dynamics of Spatially Subsidized Food Webs,Polis et al.,1997,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Nutrient Excretion Rates of Anadromous Alewives during Their Spawning Migration,Post and Walters,2009,Yes,"Anadromous alewives excretion (N, P)",Fish,Alewife,Biotic,Lake,No,Marine - Freshwater,Humid subtropical,No,North America,United States,"41.3, -72.2",Yes,2004,"2005, 2008",FL,,,,,,,,,,,,
The Role of Migratory Waterfowl as Nutrient Vectors in a Managed Wetland,Post et al.,1998,Yes,"Migratory waterfowl (N, P)",Bird,Goose & crane,Biotic,Wetland,No,Terrestrial - Freshwater,Semi continental,No,North America,United States,"33.8, -106.9",Yes,1995,1996,FL,,,,,,,,,,,,
The problem of boundaries in defining ecosystems: A potential landmine for uniting geomorphology and ecology,Post et al.,2007,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Food webs and resource sheds: towards spatially delimiting trophic interactions,Power and Rainey,2000,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Energy flow and subsidies associated with the complex life cycle of ambystomatid salamanders in ponds and adjacent forest in southern Illinois.,Regester et al,2006,Yes,Breeding adult salamanders (ash free dry mass),Amphibian,Ambystomatid salamanders,Biotic,Pond,Yes,Terrestrial - Freshwater,Humid subtropical,No,North America,United States,"37.3, -89.3",Yes,2001,2003,FL,,,,,,,,,,,,
Energy flow and subsidies associated with the complex life cycle of ambystomatid salamanders in ponds and adjacent forest in southern Illinois.,Regester et al,2006,Yes,Metamorphosing larval salamanders (ash free dry mass),Amphibian,Ambystomatid salamanders,Biotic,Surrounding land,,Freshwater - Terrestrial,Humid subtropical,No,North America,United States,"37.3, -89.4",Yes,2001,2003,FL,,,,,,,,,,,,
Resource subsidies across the land-freshwater interface and responses in recipient communities,Richardson et al,2010,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Nutrient and light availability regulate the relative contribution of autotrophs and heterotrophs to respiration in freshwater pelagic ecosystems.,Roberts and Howarth,2006,Yes*****,No relation to subsidies (how nutrient/light availability affects auto/heterotroph production),,,,,,,,,,,,,,,FL,,,,,,,,,,,,
The whale pump: marine mammals enhance primary productivity in a coastal basin,Roman and McCarthy,2010,Yes,Whale pump/defecation (ammonium),Aquatic mammal,Whale,Biotic,More shallow waters,No,Marine - Marine,n/a,n/a,North America,United States,"42.5, -70.3",Yes,2008,2009,FL,,,,,,,,,,,,
Experimental nutrient additions accelerate terrestrial carbon loss from stream ecosystems,Rosemond et al,2015,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Seasonal patterns of terrestrial and aquatic prey abundance and use by Oncorhynchus mykiss in a California coastal basin with a Mediterranean climate.,Rundio and Lindley,2007,Yes,Terrestrial invertebrates,Terrestrial invertebrates,Terrestrial invertebrates,Biotic,Rainbow trout,No,Terrestrial - Freshwater,Mediterranean,Yes,North America,United States,"34.1, -121.6",Yes,2004,2005,FL,,,,,,,,,,,,
River-watershed exchange: effects of riverine subsidies on riparian lizards and their terrestrial prey.,Sabo and Power,2002,Yes,Emerging aquatic insects,Insect,Emerging aquatic insects,Biotic,Riparian western fence lizard,No,Freshwater - Terrestrial,Mediterranean,Yes,North America,United States,"39.7, -123.7",Yes,1997,1997,FL,,,,,,,,,,,,
Increases in benthic community production and metabolism in response to marine-derived nutrients from spawning Atlantic salmon (Salmo salar),Samways and Cunjak,2015,Yes,Spawning Atlantic salmon (marine derived nutrients),Fish,Atlantic salmon,Biotic,Stream,No,Marine - Freshwater,Continental,No,North America,Canada,"45.3, -66.1",Yes,2011,2012,FL,,,,,,,,,,,,
Bottom-up dynamics of allochthonous input: direct and indirect effects of seabirds on islands,Sanchez Pinero and Polis,2000,Yes,Seabird guano,Bird,Seabird,Biotic,Darkling beetle density,No,Marine - Terrestrial,Arid,No,North America,Mexico,"26.7, -110.7",Yes,1995,1997,FL,,,,,,,,,,,,
Evolution of phosphorus limitation in lakes,Schindler,1977,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Predator control of ecosystem nutrient dynamics,Schmitz et al,2010,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Crossing habitat boundaries: coupling dynamics of ecosystems through complex life cycles.,Schrieber and Rudolf,2008,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Review on environmental alterations propagating from aquatic to terrestrial ecosystems.,Schultz et al,2015,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Trophic shifts of a generalist consumer in response to resource pulses,Shaner and Macko,2011,Yes,Millet seeds,Plant,Millet seed,Biotic,White-footed mouse,Yes,Terrestrial - Terrestrial,Humid subtropical,No,North America,United States,"39, -77",Yes,2003,2004,FL,,,,,,,,,,,,
Trophic shifts of a generalist consumer in response to resource pulses,Shaner and Macko,2011,Yes,Cicadas,Insect,Cicada,Biotic,White-footed mouse,,Terrestrial - Terrestrial,Humid subtropical,No,North America,United States,"39, -78",Yes,2003,2004,FL,,,,,,,,,,,,
Variation in survivorship of a migratory songbird throughout its annual cycle,Sillet and Holmes,2002,Yes*****,No relation to subsidies (songbird migration patterns/survivability),,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Spatial stoichiometry: cross-ecosystem material flows and their impact on recipient ecosystems and organisms.,Sitters et al,2015,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
The stoichiometry of nutrient release by terrestrial herbivores and its ecosystem consequences,Sitters et al,2017,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Deviation from strict homeostasis across multiple trophic levels in an invertebrate consumer assemblage exposed to high chronic phosphorus enrichment in a Neotropical stream.,Small and Pringle,2010,Yes,Phosphorous,Phosphorous,Phosphorous,Abiotic,Stream,No,Freshwater - Freshwater,Tropical,No,North America,Costa Rica,"10.4, -84.0",Yes,2006,2007,FL,,,,,,,,,,,,
Ecology of whale falls at the deep-sea floor.,Smith and Baco,2003,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
"Organic matter and nutrient inputs from large wildlife influence ecosystem function in the Mara River, Africa",Subalusky et al,2018,Yes,"Hippopotamus excretion/egestion (ammonium, coarse particulate organic matter)",Mammal,Hippopotamus,Biotic,River,Yes,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya,"-1.60, 35.0",Yes,2011,2014,FL,,,,,,,,,,,,
"Organic matter and nutrient inputs from large wildlife influence ecosystem function in the Mara River, Africa",Subalusky et al,2018,Yes,"Wildebeest carcasses (ammonium, soluble reactive phosphorous, phosphorous)",Mammal,Wildebeest carcasses,Biotic,River,Yes,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya,"-1.60, 35.0",Yes,2011,2014,FL,,,,,,,,,,,,
Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River,Subalusky et al,2017,Yes,"Drowned wildebeest carcasses (N, C, P)",Mammal,Wildebeest,Biotic,River,No,Terrestrial - Freshwater,Temperate subtropical,No,Africa,Kenya,"-1.60, 35.0",Yes,2011,2014,FL,,,,,,,,,,,,
The hippopotamus conveyor belt: vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa,Subalusky et al,2014,Yes*****,"Hippopotamus excretion/egestion (N, C, P)",Mammal,Hippopotamus,Biotic,River,No,Terrestrial - Freshwater,"Excretion/egestion measured in tanks at zoo, to make a model for the Mara River in Kenya",No,Africa,Kenya,"-1.60, 35.0",Yes,Unspecified,Unspecified,FL,,,,,,,,,,,,
Ontogenetic niche shifts in the American Alligator establish functional connectivity between aquatic systems.,Subalusky et al,2009,Yes,"Alligator (N, P, Ca, Mg, Na, K)",Reptile,American alligator,Biotic,Wetland & river,No,Aquatic - Aquatic,Humid subtropical,No,North America,United States,"31.3, -84.5",Yes,2005,2006,FL,,,,,,,,,,,,
Contributions to the ecology of Spitsbergen and Bear Island,Summerhayes and Elton,1923,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Seasonal subsidy stabilizes food web dynamics: Balance in a heterogeneous landscape,Takimoto et al,2002,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Ecological Effects of Live Salmon Exceed Those of Carcasses During an Annual Spawning Migration,Tiegs et al,2011,Yes,Live salmon,Fish,Pacific salmon,Biotic,Stream,Yes,Marine - Freshwater,Oceanic,No,North America,United States,"55.5, -132.7",Yes,2007,2007,FL,,,,,,,,,,,,
Ecological Effects of Live Salmon Exceed Those of Carcasses During an Annual Spawning Migration,Tiegs et al,2011,Yes,Salmon carcasses,Fish,Pacific salmon,Biotic,Stream,,Marine - Freshwater,Oceanic,No,North America,United States,"55.5, -132.8",Yes,2007,2007,FL,,,,,,,,,,,,
Moving in the Anthropocene: global reductions in terrestrial mammalian movements,Tucker et al,2018,Yes*****,No relation to subsidies (GPS-tracked movement of animals and relation to human footprint),,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Historical changes in nutrient inputs from humans and anadromous fishes in New England’s coastal watersheds,Twining et al,2003,Yes,"Anadromous alewives (N, C, P)",Fish,Alewife,Biotic,Lakes & ponds,No,Marine - Freshwater,Humid subtropical,No,North America,United States,"41.4, -72.2",Yes,Unspecified,Unspecified,FL,,,,,,,,,,,,
Omega-3 long-chain polyunsaturated fatty acids support aerial insectivore performance more than food quantity.,Twining et al,2016,Yes*****,Insects (omega-3 long-chain polyunsaturated fatty acids),Insect,Insect,Biotic,Tree swallow chicks,No,Terrestrial - Terrestrial,"Done in laboratory (chicks caught from wild, fed seeds/soybeans/etc. instead of insects with equivalent nutrient type)",n/a,North America,United States,n/a,Yes,2015,2015,FL,,,,,,,,,,,,
Nutrient loading by anadromous fishes: species-specific contributions and the effects of diversity.,Twining et al,2017,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Mainstem-tributary linkages by mayfly migration help sustain salmonids in a warming river network,Uno and Power,2015,Yes,Migratory mayflies,Insect,Spiny crawler mayfly,Biotic,Steelhead trout,No,Aquatic - Aquatic,Mediterranean,Yes,North America,United States,"39.7, -123.6",Yes,2012,2014,FL,,,,,,,,,,,,
Vertebrate herbivores and ecosystem control: cascading effects of faeces on tundra ecosystems,Van der Waal et al,2004,Yes,"Reindeer faeces (N, C)",Mammal,Reindeer,Biotic,Soil,No,Terrestrial - Terrestrial,Tundra,No,Europe,Norway,"77.1, 15.3",Yes,1997,2001,FL,,,,,,,,,,,,
Nutrient cycling by animals in freshwater ecosystems,Vanni,2002,Cannot access paper,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Predicting nutrient excretion of aquatic animals with metabolic ecology and ecological stoichiometry: a global synthesis,Vanni and McIntyre,2016,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
When are fish sources vs. sinks of nutrients in lake ecosystems?,Vanni et al,2013,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Stoichiometry of nutrient recycling by vertebrates in a tropical stream: linking species identity and ecosystem processes,Vanni et al,2002,Yes*****,No relation to subsidies (stoichiometry of nutrient recycling),,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Meta-ecosystems and biological energy transport from ocean to coast: the ecological importance of herring migration,Varpe et al,2005,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Population dynamics under increasing environmental variability: implications of climate change for ecological network design criteria,Verboom et al,2010,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Nutrient subsidies delivered by seabirds to mangrove islands,Adame et al.,2015,Yes,"Salt, Organic Matter, Phosphorus, Nitrogen, Carbon",Seabirds,Unspecified,Biotic,Soil,No,Marine - Terrestrial,Warm Semi-arid,No,North America,Mexico,20.750000/-90.33333,Yes,2011,2012,JB,,,,,,,,,,,,
Nutrient subsidies delivered by seabirds to mangrove islands,Adame et al.,2015,Yes,"Isotopic Concentration(13C, 15N)",Seabirds,Unspecified,Biotic,Mangrove Leaves,No,Marine - Terrestrial,Warm Semi-arid,No,North America,Mexico,20.750000/-90.33333,Yes,2011,2012,JB,,,,,,,,,,,,
Nutrient fluxes from water to land: seabirds affect plant nutrient status on Gulf of California islands,"Anderson, Polis",1999,Yes,"Seabird Guano(Nitrogen, Phosphorus)",Seabirds,"Gulls, cormorants, boobies, terns, herons, pelicans, frigates, oystercatcher, osprey",Biotic,Soil,Yes,Marine - Terrestrial,Desert Islands,No,North America,Mexico,28.916667/-113.5,Yes,1995,1997,JB,,,,,,,,,,,,
Identifying Corridors among Large Protected Areas in the United States,Belote et al.,2016,No,,,,,,,,,,,,,,,,JB,,,,,,,,,,,,
Arctic Seabirds Transport Marine-Derived Contaminants,Blais et al.,2005,Yes,Seabird Guano(Nitrogen),Seabirds,"northern fulmars(Fulmarus
glacialis)",biotic,Pond Sediment,No,Marine - Freshwater,Arctic,No,North America,Canada,"76.15, -89.15",Yes,Unspecified,Unspecified,JB,,,,,,,,,,,,
Sea Turtles as Biological Transporters of Nutrients and Energy from Marine to Terrestrial Ecosystems,Bouchard and Bjorndal,2000,Yes,"Organic Matter, Energy, Lipid, Nitrogen, Phosphorus",Reptiles,Loggerhead Sea Turtle,Biotic,Beach Evironment,Yes,Marine - Terrestrial,Humid Subtropical,No,North America,USA,28.068/-80.56,Yes,1996,1996,JB,,,,,,,,,,,,
The mineral and energy contributions of guano of selected species of birds to the Marion Island terrestrial ecosystem,Burger et al.,1978,Yes,"Seabird Guano(Nitrogen, Uric acid, protein, etc.)",Seabirds,14 different species,Biotic,Beach Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa, -46.909/37.7469,Yes,1974,1975,JB,,,,,,,,,,,,
Kodiak brown bears surf the salmon red wave: direct evidence from GPS collared individuals,Deacy et al.,2016,No,,,,,,,,,,,,,,,,JB,,,,,,,,,,,,
Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,"Soil Nutrients(Ammonia, nitrate, phosphate)",Seabirds,Gull,Biotic,Beach Soil,Yes,Marine - Terrestrial,Temperate-Oceanic,No,North America,USA,42.988/-70.6135,Yes,2002,2003,JB,,,,,,,,,,,,
Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,"Soil Nutrients(Ammonia, nitrate, phosphate)",Seabirds,Cormorant,Biotic,Beach Soil,Yes,Marine - Terrestrial,Temperate-Oceanic,No,North America,USA,42.988/-70.6135,Yes,2002,2003,JB,,,,,,,,,,,,
Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,"Isotopic Composition(15N, 13C)",Seabirds,Gull,Biotic,Plants,Yes,Marine - Terrestrial,Temperate-Oceanic,No,North America,USA,42.988/-70.6135,Yes,2002,2003,JB,,,,,,,,,,,,
Nutrient transfer from sea to land: the case of gulls and cormorants in the Gulf of Maine,Ellis et al.,2006,Yes,"Isotopic Composition(15N, 13C)",Seabirds,Cormorant,Biotic,Plants,Yes,Marine - Terrestrial,Temperate-Oceanic,No,North America,USA,42.988/-70.6135,Yes,2002,2003,JB,,,,,,,,,,,,
Nutrient exchanges between marine and terrestrial ecosystems: the case of the Galapagos sea lion Zalophus wollebaecki,Fariña et al.,2003,Yes,"Nitrogen, Carbon",Mammal(Sea Lions),Z. wollebaecki,Biotic,Plants/Soil,No,Marine - Terrestrial,Arid Tropical Island,No,South America,Galapagos Archipelago, -0.9538/-90.9656,Yes,2001,2002,JB,,,,,,,,,,,,
Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,"Seabird Guano(N, P, heavy metals)",Seabirds,Blue Petrel(Halobaena caerulea),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.45",Yes,1982,1983,JB,,,,,,,,,,,,
Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,"Seabird Guano(N, P, heavy metals)",Seabirds,Softplumaged Petrel (Pterodroma mollis),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.46",Yes,1982,1983,JB,,,,,,,,,,,,
Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,"Seabird Guano(N, P, heavy metals)",Seabirds,Greatwinged Petrel (P. macroptera),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.47",Yes,1982,1983,JB,,,,,,,,,,,,
Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,"Seabird Guano(N, P, heavy metals)",Seabirds,Grey Petrel (Procellaria cinerea),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.48",Yes,1982,1983,JB,,,,,,,,,,,,
Chemical Composition of Guano of Burrowing Petrel Chicks (Procellariidae) at Marion Island,Fugler,1985,Yes,"Seabird Guano(N, P, heavy metals)",Seabirds,Whitechinned Petrel (P. aequinoctialis),Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Africa,South Africa,"-46.54, 37.49",Yes,1982,1983,JB,,,,,,,,,,,,
"Seagull influence on soil properties, chenopod shrub distribution, and leaf nutrient status in semi-arid Mediterranean islands",García et al.,2002,Yes,"Seabird Guano(Nitrogen, Carbon, Phosphorus, Heavy Metals, Soluble salts, etc.)",Seabirds,Audouin’s Gull,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Semiarid Mediterannean,Yes,Europe,Spain,35.1779/-2.4411,Yes,Unspecified,Unspecified,JB,,,,,,,,,,,,
"Seagull influence on soil properties, chenopod shrub distribution, and leaf nutrient status in semi-arid Mediterranean islands",García et al.,2002,Yes,"Seabird Guano(Nitrogen, Carbon, Phosphorus, Heavy Metals, Soluble salts, etc.)",Seabirds,Yellow-legged Gull,Biotic,Plants/Soil,Yes,Marine - Terrestrial,Semiarid Mediterannean,Yes,Europe,Spain,35.1779/-2.4411,Yes,Unspecified,Unspecified,JB,,,,,,,,,,,,
Pacific Salmon in Aquatic and Terrestrial Ecosystems,Gende et al.,2002,No,,,,,,,,,,,,,,,,JB,,,,,,,,,,,,
Seabirds enhance coral reef productivity and functioning in the absence of invasive rats,Grahme et al.,2018,Yes,Seabird Guano(Nitrogen),Seabirds,14 Different Seabirds,Biotic,Soil,Yes,Marine - Terrestrial,Tropical,No,British Indian Ocean Territory,Chagos Archipelago, -5.83333 /72.00,Yes,2015,2015,JB,,,,,,,,,,,,
Keystone Interactions: Salmon and Bear in Riparian Forests of Alaska,"Helfield, Naiman",2006,Yes,Nitrogen,Fish,Pacific Salmon,Biotic,Riparian Foliage/Soil,Yes,Freshwater - Terrestrial,Maritime with Moderate Temperatures,No,North America,USA,55.483333/-158.916667,No,Not Specified,Not Specified,JB,,,,,,,,,,,,
Effects of Salmon-Derived Nitrogen on Riparian Forest Growth and Implications for Stream Productivity,"Helfield, Naiman",2001,Yes,Nitrogen,Fish,Pacific Salmon,Biotic,Riparian Foliage,Yes,Freshwater - Terrestrial,Maritime with Moderate Temperatures,No,North America,USA,57.866667/-135.3,Yes,1998,1999,JB,,,,,,,,,,,,
Keystone Interactions: Salmon and Bear in Riparian Forests of Alaska,"Helfield, Naiman",2006,Yes,Nitrogen,Fish,Pacific Salmon,Biotic,Bear,Yes,Freshwater - Terrestrial,Maritime with Moderate Temperatures,No,North America,USA,59.483333/-158.916667,No,Not Specified,Not Specified,JB,,,,,,,,,,,,
The effects of nesting gulls on the vegetation and soil of islands in the Great Lakes,"Hogg, Morton",1983,Yes,"Nitrogen, Potassium, Phosphorus, Salt, pH",Seabirds,Ring-Billed Gull,Biotic,Soil and nearby vegetation,Yes,Aquatic - Terrestrial,Continental,No,North America,Canada,44.977/-81.081,Yes,1979,1979,JB,,,,,,,,,,,,
The effects of nesting gulls on the vegetation and soil of islands in the Great Lakes,"Hogg, Morton",1983,Yes,"Nitrogen, Potassium, Phosphorus, Salt, pH",Seabirds,Herring Gull,Biotic,Soil and nearby vegetation,Yes,Aquatic - Terrestrial,Continental,No,North America,Canada,44.977/-81.081,Yes,1979,1979,JB,,,,,,,,,,,,
"Marine-derived nutrients, bioturbation, and ecosystem metabolism: reconsidering the role of salmon in streams","Holtgrieve, Schindler",2011,Yes,"Nitrogen, Phosphorus, Oxygen",Fish,Pacific Salmon,Biotic,Soil,No,Freshwater - Terrestrial,Maritime with Moderate Temperatures,No,North America,USA,59.546/-159.072,Yes,2002,2009,JB,,,,,,,,,,,,
"Impacts of seabird-derived nutrients on water quality and diatom assemblages from Cape Vera, Devon Island, Canadian High Arctic",Keatly et al.,2008,Yes,"Nitrogen, Major Ions, Nutrients",Seabirds,"northern fulmars(Fulmarus
glacialis)",Biotic,Pond Sediment,No,Marine - Freshwater,Arctic,No,North America,Canada,"76.15, -89.16",Yes,2004,2006,JB,,,,,,,,,,,,
Ammonia nitrogen dynamics in coastal rockpools affected by gull guano,Loder et al.,1996,Yes,Seabird Guano(Nitrogen and Phosphorus),Seabirds,Herring Gulls(Larus argentatus),Biotic,Soil/Sediment,Yes,Marine - Terrestrial,Temperate,No,North America,USA,"42.9914, -70.6166",Yes,1984,1986,JB,,,,,,,,,,,,
Ammonia nitrogen dynamics in coastal rockpools affected by gull guano,Loder et al.,1996,Yes,Seabird Guano(Nitrogen and Phosphorus),Seabirds,Black-Backed Gulls(Larus marinus),Biotic,Soil/Sediment,Yes,Marine - Terrestrial,Temperate,No,North America,USA,"42.9914, -70.6167",Yes,1984,1986,JB,,,,,,,,,,,,
"Variability in δ15N, δ13C and Kjeldahl nitrogen of soils from islands with and without seabirds in the Marlborough Sounds, New",Markwell and Daugherty,2003,Yes,Seabird Guano(Nitrogen),Seabirds,Pachyptila turtur,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.40, 174.00",Yes,1995,1996,JB,,,,,,,,,,,,
"Variability in δ15N, δ13C and Kjeldahl nitrogen of soils from islands with and without seabirds in the Marlborough Sounds, New",Markwell and Daugherty,2003,Yes,Seabird Guano(Nitrogen),Seabirds,Puffinus griseus,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.40, 174.01",Yes,1995,1996,JB,,,,,,,,,,,,
"Variability in δ15N, δ13C and Kjeldahl nitrogen of soils from islands with and without seabirds in the Marlborough Sounds, New",Markwell and Daugherty,2003,Yes,Seabird Guano(Nitrogen),Seabirds,P. gavia,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.40, 174.02",Yes,1995,1996,JB,,,,,,,,,,,,
"Variability in δ15N, δ13C and Kjeldahl nitrogen of soils from islands with and without seabirds in the Marlborough Sounds, New",Markwell and Daugherty,2003,Yes,Seabird Guano(Nitrogen),Seabirds,Pelecanoides urinatrix,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.40, 174.03",Yes,1995,1996,JB,,,,,,,,,,,,
"Variability in δ15N, δ13C and Kjeldahl nitrogen of soils from islands with and without seabirds in the Marlborough Sounds, New",Markwell and Daugherty,2003,Yes,Seabird Guano(Nitrogen),Seabirds,P. carneipes,Biotic,Vegetation,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-40.40, 174.04",Yes,1995,1996,JB,,,,,,,,,,,,
From wing to wing: the persistence of long ecological interaction chains in less-disturbed ecosystems,McCauley et al.,2012,Yes,Nitrogen,Seabirds,Unspecified,Biotic,Soil,No,Marine - Terrestrial,Tropical Rainforest,No,North America,USA(Palmyra Atoll),5.866667/-162.066667,Yes,2009,2010,JB,,,,,,,,,,,,
"Effects of nesting waterbirds on nutrient levels in mangroves, Gulf of Fonseca, Honduras",McFadden et al.,2016,Yes,"Phosphorus, Nitrogen",Waterbirds,"Neotropic Cormorant, Cattle Egret, White Ibis, Magnificent Frigatebird",Biotic,Plants/Soil,Yes,Marine - Terrestrial,Subtropical,No,North America,Honduras,13.3668/-87.4704,Yes,2013,2013,JB,,,,,,,,,,,,
Fish distributions and nutrient cycling in streams: can fish create biogeochemical hotspots?,McIntyre et al.,2008,Yes,"Phosphorus, Nitrogen",Freshwater Fish,Unspecified(47 different species),Biotic,Riffle and Run of stream,No,Freshwater - Terrestrial,Tropical,No,South America,Venezuela,9.166667/-69.733333,Yes,2004,2004,JB,,,,,,,,,,,,
