title,author,year,empirical_data,subsidy_type,vector_type,vector,biotic_abiotic,recipient,subgroups,ecotone,climate_zone,mediterannean,continent,country,latlon,experimental,start,end,initials,,,,,,,,,,,,
Social Behavior and Ecosystem Processes: River Otter Latrines and Nutrient Dynamics of Terrestrial Vegetation,Ben-David et al.,1998,Yes,Otter scent marking (N),Mammal,River otters' scent marks,Biotic,Riparian plants,No,Freshwater - Terrestrial,Subarctic,No,North America,United States,"60.5, -147.7",Yes,1994,1996,FL,,,,,,,,,,,,
Species replacement by a nonnative salmonid alters ecosystem function by reducing prey subsidies that support riparian spiders,Benjamin et al.,2011,Yes,Emerging aquatic insect prey,Insect,Aquatic insects,Biotic,Riparian spiders,No,Freshwater - Terrestrial,"Temperate semiarid steppe, subalpine",No,North America,United States,"44.3, -109.8",Yes,2006,2006,FL,,,,,,,,,,,,
Faunal community structure of a chemoautotrophic assemblage on whale bones in the deep northeast Pacific Ocean,Bennett et al.,1994,Yes,Whale carcass,Aquatic mammal,Blue whale or fin whale,Biotic,Deep-sea floor,No,Marine - Marine,Deep sea,No,North America,United States,"33.2, -118.5",Yes,1987,1988,FL,,,,,,,,,,,,
The Last Mile: How to Sustain Long-Distance Migration in Mammals,Berger,2004,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Transfer of Nutrients from Spawning Salmon to Riparian Vegetation in Western Washington,Bilby et al.,2003,Yes,Salmon eggs & carcasses (N and P),Fish,Several salmon species,Biotic,Riparian plants,No,Aquatic - Terrestrial,Mediterranean,Yes,North America,United States,"43.0, -123.2 and 47.6, -121.9",Yes,1996,1997,FL,,,,,,,,,,,,
The need for integrative approaches to understand and conserve migratory ungulates,Bolger et al.,2008,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Seabird guano as a determinant of rocky intertidal community structure,Bosman and Hockey,1986,Yes,Seabird guano (various N compounds),Bird,Seabird,Biotic,Intertidal algal communities,Yes,Marine - Terrestrial,Mediterranean,Yes,Africa,South Africa,"-33.0, 18.2",Yes,1982,1984,FL,,,,,,,,,,,,
Seabird guano as a determinant of rocky intertidal community structure,Bosman and Hockey,1986,Yes,Seabird guano (various N compounds),Bird,Seabird,Biotic,Intertidal limpet communities,,Marine - Terrestrial,Mediterranean,Yes,Africa,South Africa,"-33.0, 18.3",Yes,1982,1984,FL,,,,,,,,,,,,
Sea Turtles as Biological Transporters of Nutrients and Energy from Marine to Terrestrial Ecosystems,Bouchard and Bjorndal,2000,Yes,"Sea turtle eggs (lipids,N, P, organic matter, energy)",Reptile,Loggerhead sea turtle eggs,Biotic,Beach ecosystem,No,Marine - Terrestrial,Humid subtropical,No,North America,United States,"28.0, -80.5",Yes,1996,1996,FL,,,,,,,,,,,,
Toward a Metabolic Theory of Ecology,Brown et al.,2004,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Wolves modulate soil nutrient heterogeneity and foliar nitrogen by configuring the distribution of ungulate carcasses,Bump et al.,2009,Yes,"Moose carcasses from wolves (N, C)",Mammal,Moose carcass (killed by wolf),Biotic,Aster plant,,Terrestrial - Terrestrial,Boreal forest,No,North America,United States,"48.0, -88.10",Yes,1958,2006,FL,,,,,,,,,,,,
Large herbivores and aquatic–terrestrial links in southern boreal forests,Bump et al.,2009,Yes,Moose excretions (N),Mammal,Moose excretion,Biotic,Terrestrial plants,No,Freshwater - Terrestrial,Boreal forest,No,North America,United States,"48.0, -88.9",No,1958,2006,FL,,,,,,,,,,,,
Wolves modulate soil nutrient heterogeneity and foliar nitrogen by configuring the distribution of ungulate carcasses,Bump et al.,2009,Yes,"Moose carcasses from wolves (N, P, K)",Mammal,Moose carcass (killed by wolf),Biotic,Soil,Yes,Terrestrial - Terrestrial,Boreal forest,No,North America,United States,"48.0, -88.9",Yes,1958,2006,FL,,,,,,,,,,,,
